,상호명,지점명,상권업종중분류코드,도로명주소,경도,위도
7132,MMTH,,Q12,서울특별시 강남구 테헤란로4길 6,127.029459607276,37.4977219681228
7156,또봄,,Q12,서울특별시 강동구 상암로67길 35,127.15561485880801,37.547897933177296
7158,예설,,Q12,서울특별시 광진구 아차산로73길 25,127.103374031411,37.5461792442415
7194,붐커피,,Q12,서울특별시 서초구 마방로6길 28,127.04251285039,37.4745000979962
7245,미스터프랭크,,Q12,서울특별시 강동구 성내로6길 42,127.121806067697,37.528080401964104
7246,베네핏카페,,Q12,서울특별시 서대문구 신촌로 113,126.93855689045,37.5559675754759
7248,24h스터디모임카페,,Q12,서울특별시 관악구 남부순환로218길 36,126.950093900042,37.4797881275825
7255,데미타스커피,,Q12,서울특별시 양천구 목동동로 233-1,126.871554250266,37.5274771147
7321,메이드커피,,Q12,서울특별시 양천구 목동서로 221,126.87074770673901,37.527694664839004
7333,글로리아진스커피,,Q12,서울특별시 서초구 성촌길 67,127.021295161145,37.4655859834609
7348,TWOSME+,,Q12,서울특별시 강남구 도산대로 323,127.036996269202,37.5228870114434
7365,HIPPO커피,,Q12,서울특별시 서초구 논현로17길 19,127.04481343327,37.4758432762682
7435,SELECTOCOFFEE,,Q12,서울특별시 구로구 디지털로26길 5,126.89346712375,37.4816050678561
7496,고관한복촬영소,,Q12,서울특별시 중구 명동8나길 30,126.983324775738,37.561407402461704
7503,폴바셋,올림픽공원북2문점,Q12,서울특별시 강동구 강동대로 199,127.128684657215,37.5242117500215
7659,카페BONBON,,Q12,서울특별시 마포구 동교로18길 31,126.91768055037201,37.554039041169204
7673,꽃샘커피,,Q12,서울특별시 금천구 독산로 272,126.90319927542299,37.470973331781394
7714,지구촌카페,,Q12,서울특별시 구로구 남부순환로 1307,126.89598470073099,37.4787903190188
7749,에이원커피,,Q12,서울특별시 서초구 서초대로 255,127.00974547033998,37.4927467259471
7750,북카페로뎀,,Q12,서울특별시 강동구 천호대로173길 49,127.13590847029499,37.5374292710927
7757,도기푸,,Q12,서울특별시 강남구 논현로115길 71,127.027184808409,37.5083086673895
7881,프리지어,,Q12,서울특별시 서초구 반포대로9길 3,127.01148825581998,37.483210132868
7892,원효로,,Q12,서울특별시 광진구 아차산로 262,127.072944230258,37.5369968145663
7910,mr.black,,Q12,서울특별시 광진구 능동로17길 1,127.073105130099,37.5459365112471
7937,카페앤,,Q12,서울특별시 노원구 중계로16길 37,127.082530285046,37.6511979773926
7951,Riacoffee,,Q12,서울특별시 강남구 논현로149길 8,127.027614936595,37.5187464012756
8031,발리커피숍,,Q12,서울특별시 강동구 양재대로 1636,127.14427814897499,37.5516097621384
