상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,icon,color
25859817,이디야커피,강서구청점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150059100,화곡6동,1150010300.0,화곡동,1150010300209810001,1,대지,981,1.0,서울특별시 강서구 화곡동 981-1,115003005069,서울특별시 강서구 화곡로,292,,1150010300109810017029863,서광프리메라,서울특별시 강서구 화곡로 292,157010.0,7663.0,,1,,126.848757193059,37.55030556777729,cloud,red
11814503,이디야커피,방화역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150064100,방화3동,1150010900.0,방화동,1150010900208300000,1,대지,830,,서울특별시 강서구 방화동 830,115003115002,서울특별시 강서구 금낭화로,146,,1150010900108300000000548,오피앙,서울특별시 강서구 금낭화로 146,157220.0,7511.0,,1,,126.813288950552,37.5781836387184,cloud,red
11766860,이디야커피,발산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061500,우장산동,1150010600.0,내발산동,1150010600206450001,1,대지,645,1.0,서울특별시 강서구 내발산동 645-1,115002005007,서울특별시 강서구 공항대로,280,,1150010600106450001008247,경복궁,서울특별시 강서구 공항대로 280,157280.0,7646.0,,1,,126.838418262787,37.558016255906,cloud,red
12066544,이디야커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150064000,방화2동,1150010900.0,방화동,1150010900208860000,1,대지,886,,서울특별시 강서구 방화동 886,115004145490,서울특별시 강서구 하늘길,77,,1150010900108860000000002,김포공항역,서울특별시 강서구 하늘길 77,157220.0,7505.0,,B2,,126.80236426658001,37.5619088753616,cloud,red
11814669,이디야커피,화곡중앙시장점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300.0,화곡동,1150010300203620084,1,대지,362,84.0,서울특별시 강서구 화곡동 362-84,115004145005,서울특별시 강서구 가로공원로76길,63,,1150010300103620084029759,천수약국,서울특별시 강서구 가로공원로76길 63,157010.0,7767.0,,1,,126.838333361131,37.53431823727821,cloud,red
12475404,이디야커피,김포공항역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150064000,방화2동,1150010900.0,방화동,1150010900208860000,1,대지,886,,서울특별시 강서구 방화동 886,115004145490,서울특별시 강서구 하늘길,38,,1150010900106860001003098,"김포공항,롯데몰,스카이시티",서울특별시 강서구 하늘길 38,157222.0,7505.0,하,-2,,126.80293746106199,37.5713574580352,cloud,red
12329867,이디야커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061500,우장산동,1150010300.0,화곡동,1150010300200840004,1,대지,84,4.0,서울특별시 강서구 화곡동 84-4,115003115010,서울특별시 강서구 우현로,15,,1150010300100840004018429,,서울특별시 강서구 우현로 15,157870.0,7695.0,,1,,126.843611355088,37.54715572515671,cloud,red
12526173,이디야커피,화곡남부시장점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150057000,화곡4동,1150010300.0,화곡동,1150010300208300001,1,대지,830,1.0,서울특별시 강서구 화곡동 830-1,115004145320,서울특별시 강서구 등촌로5길,80,,1150010300108300001020982,,서울특별시 강서구 등촌로5길 80,157900.0,7738.0,,1,,126.858933773438,37.533059414663,cloud,red
12503024,이디야커피,화곡중앙점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150059000,화곡본동,1150010300.0,화곡동,1150010300200240154,1,대지,24,154.0,서울특별시 강서구 화곡동 24-154,115003115003,서울특별시 강서구 까치산로,79,,1150010300100240154018265,,서울특별시 강서구 까치산로 79,157866.0,7679.0,,1,,126.84740124673401,37.5457601374611,cloud,red
12637349,이디야커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150064000,방화2동,1150010900.0,방화동,1150010900205800130,1,대지,580,130.0,서울특별시 강서구 방화동 580-130,115003115005,서울특별시 강서구 방화동로,95,,1150010900105800130001734,성광콜택시,서울특별시 강서구 방화동로 95,157851.0,7607.0,,1,,126.812595517417,37.5690943091519,cloud,red
